frame_id,timestamp,detected_objects,predicted_zone,ground_truth_zone,alert_triggered,correct_detection,latency_ms,fps
920,2026-03-29 22:26:09.321,person-SAFE,SAFE,SAFE,True,False,50.04,46.9
921,2026-03-29 22:26:09.344,person-SAFE,SAFE,SAFE,True,False,52.68,47.76
922,2026-03-29 22:26:09.369,person-SAFE,SAFE,SAFE,True,False,60.81,40.8
923,2026-03-29 22:26:09.393,person-SAFE,SAFE,SAFE,True,False,53.0,43.82
924,2026-03-29 22:26:09.419,person-SAFE,SAFE,SAFE,True,False,45.37,40.52
925,2026-03-29 22:26:09.443,person-SAFE,SAFE,SAFE,True,False,67.57,43.27
926,2026-03-29 22:26:09.469,person-SAFE,SAFE,SAFE,True,False,48.1,39.75
927,2026-03-29 22:26:09.492,person-SAFE,SAFE,SAFE,True,False,42.54,44.82
928,2026-03-29 22:26:09.519,person-SAFE,SAFE,SAFE,True,False,64.54,39.61
929,2026-03-29 22:26:09.544,person-SAFE,SAFE,SAFE,True,False,71.68,43.36
930,2026-03-29 22:26:09.572,person-SAFE,SAFE,SAFE,True,False,64.42,37.09
931,2026-03-29 22:26:09.596,person-SAFE,SAFE,SAFE,True,False,54.89,42.35
932,2026-03-29 22:26:09.624,person-SAFE,SAFE,SAFE,True,False,74.36,37.92
933,2026-03-29 22:26:09.649,person-SAFE,SAFE,SAFE,True,False,55.28,41.07
934,2026-03-29 22:26:09.674,person-SAFE,SAFE,SAFE,True,False,57.87,42.05
935,2026-03-29 22:26:09.703,person-SAFE,SAFE,SAFE,True,False,74.09,35.83
936,2026-03-29 22:26:09.727,person-SAFE,SAFE,SAFE,True,False,71.23,43.19
937,2026-03-29 22:26:09.750,person-SAFE,SAFE,SAFE,True,False,60.98,45.43
938,2026-03-29 22:26:09.774,person-SAFE,SAFE,SAFE,True,False,48.21,43.64
939,2026-03-29 22:26:09.798,person-SAFE,SAFE,SAFE,True,False,71.11,44.75
940,2026-03-29 22:26:09.821,person-SAFE,SAFE,SAFE,True,False,60.36,45.51
941,2026-03-29 22:26:09.846,person-SAFE,SAFE,SAFE,True,False,64.27,43.5
942,2026-03-29 22:26:09.873,person-SAFE,SAFE,SAFE,True,False,73.23,38.44
943,2026-03-29 22:26:09.902,person-SAFE,SAFE,SAFE,True,False,53.11,35.38
944,2026-03-29 22:26:09.929,person-SAFE,SAFE,SAFE,True,False,72.43,39.03
945,2026-03-29 22:26:09.955,person-SAFE,SAFE,SAFE,True,False,66.93,39.02
946,2026-03-29 22:26:09.983,person-SAFE,SAFE,SAFE,True,False,75.63,36.71
947,2026-03-29 22:26:10.011,person-SAFE,SAFE,SAFE,True,False,62.93,37.4
948,2026-03-29 22:26:10.041,person-SAFE,SAFE,SAFE,True,False,64.11,34.75
949,2026-03-29 22:26:10.074,person-SAFE,SAFE,SAFE,True,False,68.55,30.98
950,2026-03-29 22:26:10.102,person-SAFE,SAFE,SAFE,True,False,72.83,38.2
951,2026-03-29 22:26:10.125,person-SAFE,SAFE,SAFE,True,False,69.63,45.07
952,2026-03-29 22:26:10.149,person-SAFE,SAFE,SAFE,True,False,48.33,42.2
953,2026-03-29 22:26:10.174,person-SAFE,SAFE,SAFE,True,False,67.87,42.81
954,2026-03-29 22:26:10.200,person-SAFE,SAFE,SAFE,True,False,54.19,39.16
955,2026-03-29 22:26:10.222,person-SAFE,SAFE,SAFE,True,False,49.95,47.88
956,2026-03-29 22:26:10.245,person-SAFE,SAFE,SAFE,True,False,62.02,45.93
957,2026-03-29 22:26:10.267,person-SAFE,SAFE,SAFE,True,False,56.02,48.22
958,2026-03-29 22:26:10.289,person-SAFE,SAFE,SAFE,True,False,70.54,48.11
959,2026-03-29 22:26:10.312,person-SAFE,SAFE,SAFE,True,False,59.61,46.74
960,2026-03-29 22:26:10.336,person-SAFE,SAFE,SAFE,True,False,55.21,42.49
961,2026-03-29 22:26:10.362,person-SAFE,SAFE,SAFE,True,False,60.44,42.67
962,2026-03-29 22:26:10.385,person-SAFE,SAFE,SAFE,True,False,55.99,45.83
963,2026-03-29 22:26:10.410,person-SAFE,SAFE,SAFE,True,False,62.7,41.22
964,2026-03-29 22:26:10.452,person-SAFE,SAFE,SAFE,True,False,62.68,24.49
965,2026-03-29 22:26:10.479,person-SAFE,SAFE,SAFE,True,False,53.71,38.54
966,2026-03-29 22:26:10.516,person-SAFE,SAFE,SAFE,True,False,67.14,28.5
967,2026-03-29 22:26:10.551,person-SAFE,SAFE,SAFE,True,False,63.29,29.04
968,2026-03-29 22:26:10.584,person-SAFE,SAFE,SAFE,True,False,65.71,31.84
969,2026-03-29 22:26:10.619,person-SAFE,SAFE,SAFE,True,False,63.66,29.53
970,2026-03-29 22:26:10.638,person-SAFE,SAFE,SAFE,True,False,50.07,54.31
971,2026-03-29 22:26:10.658,person-SAFE,SAFE,SAFE,True,False,59.85,53.87
972,2026-03-29 22:26:10.680,person-WARNING,WARNING,SAFE,True,False,48.92,45.81
